id,name,county,city,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday,comments,brew_type,website,x,y
1,Fulton Brewing Co.,HPN,Minneapolis,414 6th Ave N,,3pm-10pm,3pm-10pm,3pm-10pm,3pm-11pm,12pm-11pm,12pm-6pm,"2014 - 13,000 barrels produced (5th in MN)",Brewery,http://www.fultonbeer.com/,-93.27920282199993,44.98494304000007
2,Modist Brewing Co.,HPN,Minneapolis,505 N 3rd St ,,4pm-10pm,4pm-10pm,4pm-10pm,12pm-12am,12pm-12am,12pm-6pm,,Brewery,http://modistbrewing.com/,-93.27648348799995,44.98508059400006
3,Inbound BrewCo,HPN,Minneapolis,701 N 5th St,12pm-12am,12pm-12am,12pm-12am,12pm-12am,12pm-12am,11am-12am,11am-12am,,Brewery,http://inboundbrew.co,-93.28144093299993,44.98555874100003
4,Sisyphus Brewing,HPN,Minneapolis,712 Ontario Ave W,3pm-10pm,3pm-10pm,3pm-10pm,3pm-10pm,12pm-12am,12pm-12am,12pm-5pm,,Brewery,https://www.sisyphusbrewing.com/,-93.28913847699994,44.97313894000007
5,Lakes & Legends Brewing Co.,,MINNEAPOLIS,1369 SPRUCE PL,,,,,,,,,,http://lakesandlegends.com/,-93.27960995899997,44.96892286300005
6,LynLake Brewery,HPN,Minneapolis,2934 Lyndale Ave S,5pm-11pm,5pm-11pm,5pm-11pm,5pm-11pm,2pm-1am,12pm-1am,12pm-10pm,,Brewery,http://www.lynlakebrewery.com/,-93.28836877499998,44.948910514000026
7,Eastlake Brewery & Tavern,HPN,Minneapolis,920 E Lake St #123,12pm-11pm,12pm-11pm,12pm-11pm,12pm-11pm,12pm-11pm,12pm-11pm,12pm-11pm,Midtown Global Market,Brewery,http://www.eastlakemgm.com/,-93.26047050799997,44.948556938000074
8,Insight Brewing,HPN,Minneapolis,2821 E Hennepin,3pm-11pm,3pm-11pm,3pm-11pm,3pm-11pm,3pm-12am,12pm-12am,12pm-11pm,,Brewery,http://www.insightbrewing.com/,-93.21316646799994,44.991793195000064
9,Northgate Brewing,HPN,Minneapolis,783 Harding St NE,,,4pm-10pm,4pm-10pm,3pm-12am,12pm-12am,12pm-8pm,,Brewery,http://www.northgatebrew.com/,-93.22135185799999,44.99845084300006
10,612 Brew,HPN,Minneapolis,945 Broadway St NE,4pm-10pm,4pm-10pm,4pm-10pm,4pm-10pm,2:30pm-12am,12pm-12am,12pm-8pm,,Brewery,http://www.612brew.com/,-93.24682450999995,44.998958824000056
11,Bauhaus Brew Labs,HPN,Minneapolis,1315 Tyler St NE,,,4pm-11pm,4pm-11pm,3pm-11pm,12pm-11pm,,,Brewery,http://bauhausbrewlabs.com/,-93.24466857199997,45.000941731000054
12,Sociable Cider Werks,HPN,Minneapolis,1500 Fillmore St NE,4pm-10pm,,4pm-10pm,4pm-11pm,4pm-12am,12pm-12am,12pm-9pm,,Brewery,http://sociablecider.com/,-93.24412786799996,45.00449865300004
13,Able Seedhouse and Brewery,HPN,Minneapolis,1121 Quincy St NE,,,3pm-11pm,3pm-11pm,12pm-11pm,12pm-11pm,12pm-8pm,,Brewery,http://ablebeer.com/,-93.25101147999999,44.99932266200005
14,Indeed Brewing,HPN,Minneapolis,711 15th Ave NE,,,3pm-11pm,3pm-11pm,12pm-11pm,12pm-11pm,12pm-8pm,,Brewery,http://www.indeedbrewing.com/,-93.25153592199996,45.00339951500006
15,Dangerous Man Brewing Co.,HPN,Minneapolis,1300 2nd St NE,,4pm-10pm,4pm-10pm,4pm-10pm,3pm-12am,12pm-12am,12pm-8pm,,Brewery,http://www.dangerousmanbrewing.com/,-93.26633927599994,45.001015539000036
16,Boom Island Brewing,HPN,Minneapolis,2014 Washington Ave N,,,4pm-9pm,4pm-9pm,4pm-9pm,1pm-9pm,1pm-6pm,,Brewery,http://boomislandbrewing.com/,-93.28140453499998,44.99986043900002
17,Fair State Brewing Cooperative,HPN,Minneapolis,2506 Central Ave NE,4pm-11pm,4pm-11pm,4pm-11pm,4pm-11pm,2pm-12am,12pm-12am,12pm-9pm,,Brewery,http://fairstate.coop/,-93.24756931899996,45.01353842600001
18,Surly Brewing Co.,HPN,Minneapolis,520 Malcolm Ave SE,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-12am,11am-12am,11am-11pm,"2014 - 39,000 barrels produced (4th in MN)",Brewery,http://www.surlybrewing.com/,-93.21013411399997,44.973163174000035
19,Utepils Brewing Co.,HPN,Minneapolis,225 Thomas Ave N,4pm-10pm,4pm-10pm,12pm-10pm,12pm-10pm,12pm-11pm,12pm-11pm,12pm-8pm,,Brewery,https://utepilsbrewing.com/,-93.312158519,44.97865078400008
20,Wild Minds Artisan Ales,HPN,Minneapolis,6031 Pillsbury Ave S,,4pm-10pm,4pm-10pm,4pm-10pm,2pm-11pm,12pm-11pm,12pm-8pm,,Brewery,https://www.wildmindales.com/,-93.28169855199998,44.89317669300003
21,Headflyer Brewing Co.,,MINNEAPOLIS,861 E HENNEPIN AVE,,,,,,,,,Brewery,http://www.headflyerbrewing.com,-93.24370355499997,44.99188462900002
22,56 Brewing,,MINNEAPOLIS,3055 NE COLUMBIA AVE,,,,,,,,,,http://www.56brewing.com/,-93.27220703499995,45.02376579800005
23,Broken Clock Brewing Coop.,HPN,Minneapolis,3134 California St NE,,,,,one weekend,per,month,Pint sales one weekend a month,Brewery,http://brokenclockbrew.com/,-93.270706632,45.025418899000044
24,Pryes Brewing,HPN,Minneapolis,1401 W River Rd N,,,4pm-10pm,4pm-11pm,3pm-12am,11am-12am,11am-9pm,,Brewery,http://www.pryesbrewing.com/,-93.27650338299998,44.99358908300007
25,Finnegan's Brewing Co.,,MINNEAPOLIS,518 S 9TH ST,,,,,,,,,,https://finnegans.org/,-93.26595146999993,44.97210059400004
26,Ashby Brewing Co.,,ASHBY,101-199 COUNTY HWY 82,,,,,,,,,,http://ashbybrewing.us/,-95.81688158999998,46.09296098000004
27,Venn Brewing Co.,,MINNEAPOLIS,3550 E 46TH ST,,,,,,,,,,http://www.vennbrewing.com/,-93.21987953199994,44.919938023000036
28,Bang Brewery,RAM,Saint Paul,2320 Capp Rd,,,,4pm-8pm,4pm-10pm,2pm-10pm,,,Brewery,Bang Brewery,-93.19257074099994,44.97046580500006
