id,name,address,city,state,zip,monday,tuesday,wednesday,thursday,friday,saturday,sunday,comments,brew_type,website,x,y,created_by
1,Fulton Brewing Co,414 6th Ave N,Minneapolis,MN,55401,,3pm-10pm,3pm-10pm,3pm-10pm,3pm-11pm,12pm-11pm,12pm-6pm,"2014 - 13,000 barrels produced (5th in MN)",Brewery,http://www.fultonbeer.com/,-93.27920282199993,44.98494304000007,1
2,Modist Brewing Co,505 N 3rd St ,Minneapolis,MN,55401,,4pm-10pm,4pm-10pm,4pm-10pm,12pm-12am,12pm-12am,12pm-6pm,,Brewery,http://modistbrewing.com/,-93.27648348799995,44.98508059400006,1
3,Inbound BrewCo,701 N 5th St,Minneapolis,MN,55401,12pm-12am,12pm-12am,12pm-12am,12pm-12am,12pm-12am,11am-12am,11am-12am,,Brewery,http://inboundbrew.co,-93.28144093299993,44.98555874100003,1
4,Sisyphus Brewing,712 Ontario Ave W,Minneapolis,MN,55403,3pm-10pm,3pm-10pm,3pm-10pm,3pm-10pm,12pm-12am,12pm-12am,12pm-5pm,,Brewery,https://www.sisyphusbrewing.com/,-93.28913847699994,44.97313894000007,1
6,LynLake Brewery,2934 Lyndale Ave S,Minneapolis,MN,55408,5pm-11pm,5pm-11pm,5pm-11pm,5pm-11pm,2pm-1am,12pm-1am,12pm-10pm,,Brewery,http://www.lynlakebrewery.com/,-93.28836877499998,44.948910514000026,1
7,Eastlake Brewery & Tavern,920 E Lake St #123,Minneapolis,MN,55407,12pm-11pm,12pm-11pm,12pm-11pm,12pm-11pm,12pm-11pm,12pm-11pm,12pm-11pm,Midtown Global Market,Brewery,http://www.eastlakemgm.com/,-93.26047050799997,44.948556938000074,1
8,Insight Brewing,2821 E Hennepin,Minneapolis,MN,55413,3pm-11pm,3pm-11pm,3pm-11pm,3pm-11pm,3pm-12am,12pm-12am,12pm-11pm,,Brewery,http://www.insightbrewing.com/,-93.21316646799994,44.991793195000064,1
9,Northgate Brewing,783 Harding St NE,Minneapolis,MN,55413,,,4pm-10pm,4pm-10pm,3pm-12am,12pm-12am,12pm-8pm,,Brewery,http://www.northgatebrew.com/,-93.22135185799999,44.99845084300006,1
10,612 Brew,945 Broadway St NE,Minneapolis,MN,55413,4pm-10pm,4pm-10pm,4pm-10pm,4pm-10pm,2:30pm-12am,12pm-12am,12pm-8pm,,Brewery,http://www.612brew.com/,-93.24682450999995,44.998958824000056,1
11,Bauhaus Brew Labs,1315 Tyler St NE,Minneapolis,MN,55413,,,4pm-11pm,4pm-11pm,3pm-11pm,12pm-11pm,,,Brewery,http://bauhausbrewlabs.com/,-93.24466857199997,45.000941731000054,1
12,Sociable Cider Werks,1500 Fillmore St NE,Minneapolis,MN,55413,4pm-10pm,,4pm-10pm,4pm-11pm,4pm-12am,12pm-12am,12pm-9pm,,Brewery,http://sociablecider.com/,-93.24412786799996,45.00449865300004,1
13,Able Seedhouse and Brewery,1121 Quincy St NE,Minneapolis,MN,55413,,,3pm-11pm,3pm-11pm,12pm-11pm,12pm-11pm,12pm-8pm,,Brewery,http://ablebeer.com/,-93.25101147999999,44.99932266200005,1
14,Indeed Brewing,711 15th Ave NE,Minneapolis,,,,,3pm-11pm,3pm-11pm,12pm-11pm,12pm-11pm,12pm-8pm,,Brewery,http://www.indeedbrewing.com/,-93.25153592199996,45.00339951500006,1
15,Dangerous Man Brewing Co,1300 2nd St NE,Minneapolis,MN,55413,,4pm-10pm,4pm-10pm,4pm-10pm,3pm-12am,12pm-12am,12pm-8pm,,Brewery,http://www.dangerousmanbrewing.com/,-93.26633927599994,45.001015539000036,1
17,Fair State Brewing Cooperative,2506 Central Ave NE,Minneapolis,MN,55418,4pm-11pm,4pm-11pm,4pm-11pm,4pm-11pm,2pm-12am,12pm-12am,12pm-9pm,,Brewery,http://fairstate.coop/,-93.24756931899996,45.01353842600001,1
18,Surly Brewing Co,520 Malcolm Ave SE,Minneapolis,MN,55414,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-12am,11am-12am,11am-11pm,"2014 - 39,000 barrels produced (4th in MN)",Brewery,http://www.surlybrewing.com/,-93.21013411399997,44.973163174000035,1
19,Utepils Brewing Co,225 Thomas Ave N,Minneapolis,MN,55405,4pm-10pm,4pm-10pm,12pm-10pm,12pm-10pm,12pm-11pm,12pm-11pm,12pm-8pm,,Brewery,https://utepilsbrewing.com/,-93.312158519,44.97865078400008,1
20,Wild Minds Artisan Ales,6031 Pillsbury Ave S,Minneapolis,MN,55419,,4pm-10pm,4pm-10pm,4pm-10pm,2pm-11pm,12pm-11pm,12pm-8pm,,Brewery,https://www.wildmindales.com/,-93.28169855199998,44.89317669300003,1
